Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Region
Brunei,0.116,-0.049,-0.229,0.036,-0.335,0.161,-0.109,-0.184,0.231,0.1,-0.232,0.034,0.282,-0.195,0.016,-0.141,0.062,0.122,0.169,0.133,0.074,0.064,0.497,-0.175,0.083,0.004,0.405,0.434,0.043,0.432,0.416,0.313,0.156,0.356,0.388,0.292,0.597,1.232,0.441,0.345,0.416,0.582,0.835,0.656,0.9,0.588,0.645,0.458,0.826,0.921,0.575,0.763,0.982,0.934,1.121,1.545,1.162,1.076,1.383,1.377,1.07,1.085,1.162,1.592,Southeast Asia
Cambodia,-0.024,-0.114,-0.285,0.145,-0.212,0.425,-0.126,-0.163,0.444,0.057,-0.461,0.042,0.35,-0.332,-0.039,-0.459,0.027,0.203,0.392,0.317,0.256,0.045,0.417,0.061,0.208,0.028,0.578,0.295,0.203,0.546,0.468,0.42,0.29,0.355,0.572,0.226,0.239,1.309,0.304,0.194,0.549,0.691,0.589,0.52,0.69,0.659,0.542,0.364,0.42,1.156,0.417,0.872,0.956,0.595,1.103,1.397,1.073,0.794,1.55,1.425,0.917,0.972,1.383,2.057,Southeast Asia
Indonesia,-0.049,0.016,-0.105,0.002,-0.203,0.016,-0.136,-0.055,0.165,0.171,-0.173,-0.067,0.275,-0.13,-0.114,0.002,0.099,0.066,0.182,0.188,0.127,-0.074,0.348,-0.197,0.043,0.017,0.402,0.359,0.031,0.082,0.211,0.203,0.204,0.312,0.342,0.358,0.378,0.971,0.235,0.234,0.47,0.594,0.621,0.574,0.709,0.388,0.43,0.226,0.532,0.742,0.306,0.432,0.76,0.75,0.771,1.41,0.957,0.879,1.045,1.233,1.02,0.969,1.101,1.472,Southeast Asia
Laos,0.087,-0.221,-0.375,-0.06,-0.169,0.464,-0.102,-0.115,0.518,-0.046,-0.494,-0.021,0.481,-0.418,0.223,-0.572,-0.084,0.075,0.42,0.404,0.37,0.1,0.2,0.008,0.195,-0.037,0.881,0.252,0.181,0.374,0.636,0.133,0.215,0.296,0.507,0.013,0.181,1.266,0.517,-0.096,0.589,0.497,0.854,0.272,0.766,0.755,0.494,0.161,0.533,1.248,0.01,0.843,1.031,0.617,1.232,1.256,1.04,0.75,1.978,1.527,1.079,0.902,1.496,2.026,Southeast Asia
Malaysia,-0.019,-0.071,-0.12,0.052,-0.241,0.133,-0.14,-0.104,0.235,0.115,-0.242,0.042,0.268,-0.217,-0.02,-0.218,0.071,0.171,0.264,0.137,0.097,0.064,0.493,-0.158,0.044,0.055,0.376,0.33,0.002,0.393,0.335,0.267,0.104,0.25,0.371,0.302,0.525,1.129,0.329,0.282,0.441,0.593,0.665,0.597,0.773,0.515,0.552,0.418,0.673,0.908,0.545,0.704,0.931,0.944,1.131,1.558,1.093,1.128,1.415,1.358,1.177,1.092,1.221,1.612,Southeast Asia
Myanmar,-0.023,-0.115,-0.17,0.027,-0.317,0.391,-0.047,-0.164,0.199,-0.033,-0.407,-0.011,0.253,-0.264,0.118,-0.392,-0.076,0.069,0.494,0.267,0.26,0.037,0.141,0.091,0.191,0.107,0.56,0.435,0.327,0.201,0.525,0.073,0.101,0.456,0.574,0.36,0.189,1.141,0.834,0.161,0.613,0.637,0.641,0.576,0.906,0.765,0.442,0.452,0.882,1.182,0.486,0.893,0.958,0.861,1.127,1.351,1.252,0.965,1.628,1.593,1.642,1.349,1.745,1.959,Southeast Asia
Philippines,-0.134,-0.107,-0.349,-0.025,-0.29,0.171,-0.154,-0.123,0.118,0.198,-0.345,0.011,0.294,-0.062,0.07,-0.142,0.284,0.211,0.371,0.175,0.278,0.178,0.639,0.206,0.364,0.295,0.681,0.797,0.253,0.427,0.375,0.388,0.364,0.432,0.447,0.368,0.454,1.252,0.519,0.642,0.757,0.661,0.78,0.678,0.787,0.829,0.877,0.543,0.677,1.018,0.585,0.879,1.018,0.87,1.109,1.569,1.192,1.225,1.304,1.447,1.309,1.275,1.44,1.542,Southeast Asia
Singapore,,,,,,,,,,,,,,,,,,,-0.064,0.105,,,0.22,-0.481,-0.088,-0.189,0.159,0.082,,,0.08,-0.108,-0.105,0.358,0.267,0.126,0.573,0.803,0.107,0.146,0.216,0.37,0.374,0.344,0.627,0.382,0.091,0.105,0.581,0.6,0.379,0.662,0.717,0.879,1.119,1.395,0.76,1.026,1.6,1.022,1.239,0.975,1.294,1.633,Southeast Asia
Thailand,-0.15,-0.148,-0.315,-0.027,-0.222,0.411,-0.051,-0.113,0.467,0.004,-0.48,0.04,0.355,-0.474,0.073,-0.543,0.047,0.23,0.536,0.448,0.251,0.076,0.385,0.038,0.231,0.013,0.691,0.208,0.237,0.456,0.588,0.29,0.224,0.265,0.584,0.132,0.283,1.35,0.345,-0.037,0.543,0.526,0.667,0.42,0.77,0.559,0.42,0.263,0.373,1.177,0.132,0.79,1.005,0.601,1.146,1.433,1.013,0.771,1.667,1.446,0.975,0.874,1.394,1.98,Southeast Asia
Timor Leste,-0.341,0.011,-0.624,-0.202,,0.118,-0.391,0.003,0.143,0.311,0.117,-0.184,0.638,-0.394,-0.412,-0.054,,0.742,0.27,0.333,0.679,-0.479,0.285,0.032,0.391,0.167,,,,-0.798,,,0.232,,0.044,0.117,-0.105,0.812,-0.119,,,,0.21,0.265,0.946,0.049,0.346,0.059,0.473,0.693,-0.342,-0.078,0.423,0.38,0.488,1.505,0.822,0.392,0.517,1.358,0.773,0.623,0.297,1.11,Southeast Asia
Vietnam,0.038,-0.215,-0.283,0.086,-0.02,0.486,-0.128,-0.295,0.556,-0.042,-0.462,0.023,0.447,-0.398,0.167,-0.57,-0.126,0.011,0.309,0.26,0.378,0.089,-0.015,-0.225,-0.116,-0.004,0.952,0.096,-0.052,0.303,0.528,0.013,0.245,0.282,0.293,-0.054,0.267,1.273,0.723,0.112,0.65,0.659,1.001,0.354,0.814,0.895,0.553,0.248,0.739,1.154,0.177,0.81,0.96,0.609,1.256,1.217,1.186,0.877,1.856,1.575,1.199,1.119,1.522,2.035,Southeast Asia
